station,slope,alt,d_source,strahler,width_river_mean,avg_depth_station_mean,width_river_cv,avg_depth_station_cv,DBO_med,flow_med,temperature_med,DBO_cv,flow_cv,temperature_cv
122,1.02,116.33,26,3,5.259090909090909,0.45125,0.094196473735859515,0.1595556874604882,2.6635914270020438,2.1361313210504504,11.454709707606124,0.16116972880369546,0.3475408921003737,0.08943937755274188
123,1,100.08,17,2,5.102,0.514,0.07596239388141508,0.2815303496328363,2.898206055168237,1.7503038858743627,10.933353272310868,0.17410624669261046,0.38635499479569324,0.12190041534460744
154,1.01,57.73,88,5,33.85454545454545,2.5163636363636366,0.12161938431857541,0.274304664879607,3.7508911861110175,5.527727824678282,12.226578503917372,0.24232996639356288,0.5875239176580191,0.0948642020915121
169,1.57,90.53,17,3,6.23,0.883,0.11989078651951107,2.0578479836294155,4.065192652838046,2.1861831850900715,11.292710125832373,0.459730679715258,1.149981499707163,0.09824889299690168
190,2.16,63.78,21,4,4.963571428571429,0.74,0.07807458930525561,1.7771643702409015,2.5596985317290617,6.930068067172438,11.256341846384737,0.1374793406542743,0.6341356657457995,0.07299314180122568
209,1.92,139.47,23,3,8.161666666666667,0.4008333333333333,0.110406206577751,0.22173226371988444,2.5616752247645898,3.307827372166231,10.826844947286611,0.33029623385192,1.1407513597690766,0.058807121345152286
278,1.59,182.43,6,2,7.857,0.389,0.061292179608667736,0.3030682492818094,2.683718448780932,10.125503658648311,11.522585816730858,0.587514369233262,0.6997225320781281,0.10852920438561256
299,6.6,524.77,7,1,107.27272727272727,0.5690909090909091,0.26723820777630175,0.6125738826711041,3.001394493717478,7.465072542673281,11.458600358395593,0.4899606512748464,0.19036116448474985,0.13649026773438908
345,2.98,275.46,109,4,225,0.8990909090909092,0,0.25559404976554273,2.502464607281198,6.281597067831912,11.77550003903451,0.31680068548670487,0.32060387306012256,0.10298034050041815
346,2.98,275.46,122,4,250,3.1818181818181817,0,0.12713483120735422,2.5104245531353415,6.402332617819248,11.756323887772327,0.3146334261727177,0.31484298609561684,0.10233287985875711
418,2.97,427.63,42,3,7.553333333333333,0.6508333333333333,0.05228247620247252,0.1771918177605241,3.0024680215196473,11.408715972008896,11.57778360053468,0.3365792813278638,0.20099866777992248,0.13603346633037647
427,2.16,376.86,13,2,6.604166666666667,0.41625,0.08646541208351632,0.22400417581170823,3.000831294357419,1.7555682488529303,11.590182913875124,0.5766041433319344,1.0744404964140934,0.13586633617247237
513,12.26,649.04,46,4,14,0.3983333333333334,0.07460470969529907,0.033567761845432045,2.591078409366012,7.4493657274677565,11.44125130772543,0.33717951553811476,0.18329813920013044,0.1378953342207192
527,12.15,698.97,15,3,6.56,0.3227272727272727,0.07396670714325265,0.18801629967284778,2.177148175185875,7.0890115347139755,11.445906871515255,0.5359796352578269,0.1904343743545311,0.13951671245708483
552,13.06,832.54,3,1,3.120909090909091,0.21363636363636365,0.1041876232067216,0.2370865871286014,2.8327933895351998,1.6280098359048398,11.340956300079847,0.4812412639858358,0.3338735479444451,0.14263320500182758
568,11.18,696.59,4,1,8.0408333333333335,0.29833333333333334,0.02931749331239633,0.044819525592504225,2.6925324211499766,2.8910153379535837,11.716799785195771,0.42450501143592817,0.33263264538105786,0.1099657564315913
624,11.97,549.77,21,3,2.96875,0.17666666666666667,0.12718929098512313,0.264268109489101,2.589553274301124,11.079036280219757,11.6203030586701,0.4216084951469413,0.6192896495909438,0.11792692677853629
644,5.94,436.02,158,5,32.238181818181815,2.028095238095238,0.11614198693428014,0.018620889402737945,2.7006267392435133,24.842104989815958,12.089862505346066,0.29862456801751386,0.5435711540897918,0.11204798481244475
657,4.49,345.04,13,2,2.3825,0.20125,0.5260316425982438,0.5550631581175032,2.251623816773834,0.7296340393785612,11.09582251765033,0.31747717855352264,0.5086686064314468,0.16808198936520002
695,8.87,532.27,20,3,8.9158333333333335,0.39166666666666666,0.016438641289070684,0.050870038462755174,2.336981387483744,5.367579366833501,11.68905129952819,0.1837079366133678,0.3300598154640966,0.1345487303078639
723,8.87,532.27,52,4,15,0.5290909090909091,0,0.1223290472098254,2.571081680409431,5.884320857528833,11.673000694150101,0.13783284385905617,0.2061623302882252,0.11517281501686001
803,4.6,370.97,213,5,50.5625,1.45625,0.027940462896126367,0.39862153263584893,2.7491075794318767,16.34157859081512,12.037329500891923,0.2875776430922304,0.41972952092684135,0.1000510922759968
857,5.77,282.71,26,2,5.3425,0.4241666666666667,0.046621537400433545,0.26510485220169155,2.7749873597031827,5.7248204815274155,11.567135582184697,0.41686930307582964,0.3314200816759694,0.09975981223078084
960,3.54,251.93,98,5,20.833333333333332,0.5466666666666666,0.09341987329938277,0.19937168082185347,3.0669717872422027,6.642177302771075,11.304347448810319,0.39048259026228765,0.31395621960961095,0.09943463092268165
967,4.67,252.3,2,1,5.84,0.3888235294117647,0.04040787514354181,0.22875150574267267,2.8391171986078256,4.823230488320097,11.369190584824752,0.2555004219785287,0.4067835801680194,0.1054658797450507
1076,11.49,700.8,23,3,15.166666666666666,0.6375,0.0380670507157995,0.13742286641517829,2.2828808795275823,6.974214289220367,11.553902076023034,0.6227728318265056,0.19366789367106801,0.13716051922158953
1146,8.75,760.71,26,3,9.18,0.40800000000000003,0.06904786825856042,0.04735744034702429,2.2296703202102255,8.331223061737724,11.337111544329602,0.36129019587422195,0.17788979886466091,0.14345981381482023
1162,8.21,637.18,8,2,29.8,0.6960000000000001,0.02122334000113006,0.4427007842558382,1.9661723826067359,8.181452530654958,11.212841334253454,0.29846663585647026,0.17924057058200887,0.14012105864802102
1257,2.96,338.74,25,3,8.313888888888888,0.7238888888888889,0.09352922658578806,0.13377828527523025,2.30175320030258,2.3711648318357357,11.60141362248786,0.22339220987204012,0.6296501502184434,0.1155706785747321
1301,10.13,734.17,7,1,9.5,0.402,0,0.015732724677454592,2.048974107452296,3.7932800045571,11.36259616948473,0.3463430814601911,0.3329891006856911,0.11278296520970257
1322,8.27,549.86,5,2,5.55,0.38142857142857145,0.023171522518781004,0.08594794750131908,2.1172765572940926,14.8749821011288,11.295252694935872,0.2680371181355584,0.28033169670501656,0.12688857164235276
1348,6.73,490.72,5,1,25,0.6181818181818182,0,0.06543704547437348,2.2548446749350703,19.313813168204288,10.698952806146067,0.339475340028154,0.19806450375701654,0.12990403522444782
1405,2.47,313.48,54,4,14.5,0.48833333333333334,0,0.05579685265321496,2.204443144745855,18.860940954033616,11.185504279580414,0.2809092123076824,0.321373856871129,0.11120549529473381
1453,1.76,256.53,15,2,9.4,0.4,0,0,2.661449713765241,12.908065220571709,11.213677192605633,0.2390405395819512,0.6725425916155607,0.12123187029864563
1472,3.99,372.51,138,5,109.0909090909091,0.96,0.1503699142485328,0.10174262872562317,2.5051009554395343,35.842899485979096,11.53457505566536,0.22821074145891146,0.2362472697351927,0.10046497962561785
1506,4.06,388.85,4,1,2.799166666666667,0.30217391304347824,0.06478557229907873,0.23357144039608518,2.1700053115207414,4.128506127309575,11.222460858710495,0.26477454597873745,1.0698339617319612,0.11099348237886683
1535,2.18,258.53,56,4,10.833333333333334,0.5183333333333333,0.0359307204997626,0.0862137624871238,2.178865630849323,6.135479093170444,11.209356657884467,0.28172492407876676,0.5671535283772323,0.09582021695640465
1629,1.12,236.78,9,2,10,0.48,0,0.10696985792759801,2.494882313903888,3.8527781963374923,11.056241121408231,0.3741010509722019,0.7087762660767856,0.11586669813285817
1748,3.28,334.64,318,6,108.66666666666667,3.4,0.1794450436868608,0.243552550356125,2.2014061174218122,15.011540206547775,10.78025503920896,0.29444904351181916,0.5966929003521215,0.1304330461176163
1755,3.28,333.74,2,1,3.32375,0.2629166666666667,0.0921999822143497,0.17247629142792373,2.2590446542894336,14.956288624154237,10.613459437604908,0.327949072732816,0.5991167576018439,0.13110423059319
1823,1.3,243.27,19,3,5.683333333333334,0.5633333333333334,0.07260502672014026,0.12358725757477333,2.7861762384224686,5.241094199311064,11.275965569482302,0.28418601045272407,0.45806388086256683,0.10020844575654496
1992,2.04,265.28,6,2,19.522222222222222,1.6233333333333333,0.038031357795946547,0.1271268002121635,2.527026437964505,6.135425050429946,11.443797066629067,0.5026681400032857,0.40390617321908506,0.1086171828706937
2010,1.78,369.94,21,3,7.0738095238095235,0.395,0.06249053029476819,0.1600099508623562,2.6546613650327706,7.696453002002072,11.60906608888537,0.4748736735680646,0.20852717549552774,0.15251165889761545
2060,2.49,364.67,1,1,8.333333333333334,0.5,0.009341987329938241,0.05116817192534653,2.126809373391306,5.951638676540042,11.64676499479455,0.3103648875151087,0.7209283762524313,0.0880299290400966
2090,2.73,320.74,15,2,4.962,0.3277777777777778,0.10789338093264589,0.23865827191934919,1.50942489237459,13.226783991108743,11.600770532282302,0.662112736340987,0.5640291457848391,0.09470708378123449
2176,2.88,322.71,285,5,40,0.968,0,0.06969206964558412,2.0415081345297765,87.01553104860696,11.194740493658632,0.3183343788746333,0.19527828295123523,0.10784900462924331
2196,2.86,311.74,0,1,30.955555555555556,2.0677777777777777,0.07107155330989622,0.21970780319282107,1.9179499070411095,135.57360356597573,11.126798758505801,0.35944136010860583,0.12865965129237125,0.11969162072830776
2208,2.18,354.84,2,1,4.5,0.4708333333333333,0.04737793696791343,0.38544785036540613,2.6622737313697895,56.20526650907306,11.057198240261124,0.4749195297582063,0.2967394472558215,0.10850559524689907
2275,2.6,277.03,125,5,26.18235294117647,1.8535294117647059,0.08392004299975296,0.17575507135837012,2.4053147399446626,199.56458150887917,10.79518698484718,0.21946114564724117,0.26241623346843407,0.14331409229026407
2288,2.89,320.69,18,3,4.8,0.25588235294117645,0.13134916888456763,0.2784255889124357,2.2022027596783302,37.96962098538846,10.132300279525694,0.8867551647078258,0.22502151353481054,0.16136925128552315
2307,2.14,200.87,17,2,6.383333333333334,0.36583333333333334,0.072202879098453,0.20962571324215248,2.145549915246466,25.99453981428683,11.172680665252834,0.569410349652932,0.5893893432522883,0.10745249636716675
2377,3.04,290.46,455,6,3.0416666666666665,0.18083333333333335,0.14474738668117937,0.22353999768904334,1.700415817412795,340.05622233854535,10.601269461071324,0.3108674305230053,0.22933717141109072,0.14665423484100823
2390,3.04,290.46,483,6,100,1.1636363636363636,0,0.10364452469860623,1.9723555879328252,328.20642113269406,10.884473002416899,0.28094022360727616,0.223744529168427,0.13001607614615143
2423,2.6,333.87,45,4,12.281818181818181,0.48545454545454547,0.08984546088632744,0.4566685880081749,2.1425048169218104,4.683866578144821,11.254334417951117,0.6775863139753181,0.2547582072179656,0.1408271900156316
2497,2.05,253.16,3,2,25.833333333333332,1.0266666666666666,0.11174521339154049,0.10108164011522297,2.197794071949665,38.50829479305406,11.889558647827503,0.7029864564103857,0.261319191508438,0.08433703786108668
2544,3.2,331.13,95,4,17.916666666666668,0.5991666666666666,0.037314860842131425,0.08128434750621437,2.0741632854569607,19.451173248253806,11.4057777520393,0.7047300487104917,0.24527860847039765,0.13085843031917277
2565,1.09,164.53,31,3,5.478947368421053,0.5868421052631579,0.031949970370199,0.3564949405888799,2.0644139226804827,1.6733773756863473,11.718636011214667,0.587431666375135,0.4123181535163548,0.07900933123612333
2594,1.86,220.74,244,6,50.5,2.045,0.08037185465262356,0.19370788264275599,2.2861757401877476,73.49180687767192,12.159844722286683,0.7179599053163669,0.2598344613090675,0.07901029696893742
2608,1.33,120.89,25,3,6.066,0.28300000000000003,0.11273736134986513,0.27625689881484206,2.3112550480718017,0.6899448004086736,11.692224805415936,0.6417765097350983,0.8544572704754101,0.08821906740458117
2690,3.83,394.84,9,3,5.395833333333333,0.2752173913043478,0.09346306551692689,0.18523017796753236,2.0689134583615223,0.8799539789473502,11.671795643631713,0.6623059504565039,1.092681024195244,0.13821159640350153
2718,3.1,336.19,1,1,10.708333333333334,0.595,0.05437354799445829,0.12587204083252784,1.9442319011048084,6.7715992123267865,11.637819020060792,0.7091362479452944,0.26892841985422733,0.1385424727153585
2743,2.83,297.4,148,4,24.3,1.054,0.06734122199524596,0.032002809970078504,1.9679726142247331,20.219378771438112,11.703332004059968,0.6976061965276507,0.27156904746076727,0.07753220798349456
2806,1.01,127.68,4,1,7.490588235294117,0.44764705882352945,0.08034554951619809,0.2941984430099018,2.2274859289787767,15.981673194444403,11.646470349696202,0.6966023553979614,0.6801535025814175,0.09189889527515624
2831,2.65,314.43,65,4,9.525,0.3875,0.009092130223458695,0.1288561848534566,1.9379694573670594,7.696453130090522,11.608427547425148,0.6944024175779023,0.20088194061282438,0.13872998229920025
2877,1.09,163.54,61,4,20,1.098,0,0.03859198198438539,1.9442186345212733,20.224200103659477,11.867756760755475,0.599844234733414,0.5520430348726417,0.1079101900837841
2894,6.17,560.78,13,2,6.320769230769231,0.46076923076923076,0.06974487665217315,1.0332413097969375,2.435582980665917,3.0792341898859283,10.14738344542878,0.6413835086760694,0.22545551783269985,0.15237887607354664
3243,4.17,552.86,10,2,2.857,0.267,0.10751803121539617,0.23313627048306942,2.39364155193228,7.258831047019595,10.160639854795267,0.6252662715705267,0.2019386858535823,0.179615064631046
3551,1.68,184.08,36,4,8.15,0.7999999999999999,0.019400476442750794,0.11858541225631421,2.218238588768422,4.240940757434865,11.530144000176863,0.6451969466606499,0.3057325938261345,0.130451108851603
3587,2.7,227.86,17,3,5.354782608695652,0.2934782608695652,0.1903930817552006,0.2519908509276494,2.225715403387472,6.025332082144121,11.58607347575758,0.7121711236324708,0.940097561058234,0.09127456437568736
3688,1.23,205.56,2,1,8.048181818181819,0.6272727272727273,0.10090706947525745,0.16507367255350064,2.473798037253229,2.384550577484038,11.688958027280918,0.6246170635901115,0.44505244477671113,0.12544341469521905
3749,0.75,149.02,5,1,7.336363636363637,0.5554545454545454,0.10205271615624253,0.248596931756285,2.4632032297240882,7.5289550670553975,11.994341905074334,0.6441030581898902,0.5519372245460327,0.1400872772352264
3789,2.16,244.54,23,3,4.945454545454545,0.5981818181818181,0.036580420481861005,0.20335005282353255,2.4094396559768705,1.3372789159690333,11.379854593673526,0.6605493516158032,0.6079378731182503,0.12682513615491045
3799,1.5,234.98,14,3,4.23125,0.34933333333333333,0.08121587730237992,0.4517704039366504,2.42758617393374,1.2076500856887304,11.36907686631375,0.6601696211506821,1.0032771945504892,0.12694238569290237
3816,1.5,207.62,78,4,11.98,0.55,0.08770567970994124,0.2738696612774546,2.4742615286006084,5.336523299406644,11.78672236186108,0.6553314689926657,0.2862898069738643,0.13474124906414717
3842,0.96,131.06,48,3,5.779444444444445,0.32625,0.08635962362082086,0.28134191188790525,2.5034743479614083,0.8246850521607106,11.91993458770672,0.6479890284620762,0.8040997013826472,0.08772901679033167
3860,1.92,203.64,5,1,138.1818181818182,3.4309090909090907,0.017672771989874544,0.12338739851281237,2.5417188482829354,215.43391922736322,13.235649842076796,0.6031755303891847,0.2450885453910556,0.10555083075696937
4171,0.63,98.77,23,3,5.125,0.68375,0.03736300908317418,0.13253125685531944,2.6324763276019842,0.9104097176631054,11.798550549861263,0.4903723626815537,1.5848680795520664,0.09965358250869315
4228,1.89,200.79,548,7,170.1818181818182,4.134545454545455,0.14590688793430046,0.09140025171436156,2.550803211978085,325.5658707311307,13.519163043584996,0.6214157408078389,0.27128066450836724,0.10684365458268107
4271,1.88,198.8,603,7,139.66666666666666,3.995,0.051660884974338586,0.12782010213221706,2.6929312205883336,335.7685377310062,13.140317987249,0.5969362220523696,0.29610348183159113,0.09520950296248457
4301,2.78,397.04,32,4,10.875,0.7625,0.028578462552094758,0.026303918298551655,1.941311926831408,7.517580125806946,11.830842068584817,0.5672478057383549,0.24944042958720306,0.14545178813799062
4426,1.92,254.62,123,5,12,0.69,0.035533452725935076,0.03440728552622025,1.77453574260332,5.639323624505512,11.732715109573686,0.6861259178451261,0.8247618269761839,0.08854240119415106
4498,2.36,377.78,40,3,6.7318181818181815,0.36818181818181817,0.14257047151709573,0.11827650187032374,1.8473460826831491,2.229233500333269,11.744114979341413,0.6151820532734227,0.878176553013605,0.09401295870279917
4519,2.64,358.96,6,1,18,0.6909090909090909,0,0.010140973088419821,1.794140949829932,11.098128193044188,11.804951330108706,0.7017709688548053,0.27845270600631544,0.08899347377797222
4613,1.94,261.66,138,5,24.66,1.198888888888889,0.01825568317505718,0.18903327996372607,1.7914869913828253,43.868398325961344,11.496104018180423,0.7069985297422398,0.47133610273008336,0.08321448707078175
4678,2.61,330.09,14,1,18.25,0.7266666666666667,0.18116876805896223,0.13927274689128163,1.6762107604497882,26.78804143586649,11.728790883184312,0.717784553091491,0.5531383862917817,0.08051257676563169
4723,2.08,263.24,5,1,45,2.2,0,0.08131156281817417,2.08744218951215,79.44351827075023,11.891799761157237,0.6936461595172126,0.2996248046573739,0.08888324273114043
4730,0.96,149.88,54,3,6.43875,0.6406666666666667,0.18715500046046982,0.3952463367958757,2.1739179661340304,22.631929559715083,11.551777361035594,0.6393349921401342,0.678760260928486,0.09823989049795592
4785,2.02,245.33,323,6,58.24933333333333,3.0793333333333335,0.21430422016789785,0.2613415919401781,2.3754891547255688,86.40434788229315,12.287061821262029,0.6803435917469463,0.35820551849941507,0.09190668251288012
4830,1.78,162.37,8,3,3.750625,0.536875,0.14635745174584244,0.21856832204572485,2.532073735304214,21.150653416544106,11.825171539663447,0.5980256322670313,0.35186367377467886,0.08614186448610509
4942,1.95,205.37,9,2,74.04545454545455,3.424545454545455,0.14268486583523873,0.0473985327933515,2.647983180617284,169.87275712319098,13.149116378135329,0.6043148398157364,0.4089630427549145,0.1246760492859016
5105,1.23,177.7,47,3,5.06,0.8507692307692308,0.06000880020035167,0.5230992322226509,2.436984752488252,33.20962131995942,11.809271589668253,0.681136830500184,0.6835698649465756,0.09528202815238322
5191,1.85,180.63,613,7,174.15384615384616,4.095384615384615,0.0694940676696933,0.13407022634301569,2.7205919205235296,352.81775314936175,13.40427090094599,0.5100654396089132,0.38726711419245047,0.10535446499032405
5231,1.85,179.33,4,1,159,5.866363636363636,0.03720804895031205,0.051929934061021366,2.5504458321150603,322.97150551189213,13.507444514792462,0.5652253082195983,0.43080458441365255,0.11071971149706768
5253,1.56,293.35,29,3,6.833636363636364,0.20909090909090908,0.1768563023442003,0.19771855653742734,2.6034731266925695,7.737819355046987,10.431119589755083,0.6386924042820101,0.5628833277942743,0.1482247058792521
5503,1.78,138.98,3,1,65.02727272727273,3.131,0.10509957047969719,0.12553927395212341,2.6796305657429738,83.77236045020817,12.641022036627756,0.592660674662891,0.7133261045391746,0.14043514413871588
5530,1.75,134.94,19,2,74,3.141,0.04273348189416729,0.07350064349618922,2.6348515953723806,121.90508424969596,12.754101893340685,0.5880442641015698,0.7756555707603157,0.15386937445593335
5731,0.86,190.68,18,2,4.849333333333333,0.21533333333333332,0.09273230138893139,0.19376805631789285,2.06475960024148,5.690481499913239,11.719695914833117,0.6538852494865796,0.5699872503320559,0.10048174857921523
5763,1.31,181.66,2,1,12.363636363636363,1.1109090909090908,0.04080716742797532,0.10623872884207577,2.2425745499355947,9.346872931112394,11.810207344251147,0.5501248424746161,0.5209142292622289,0.12573607425956776
5831,2.15,184.99,21,2,19.846153846153847,1.0153846153846153,0.02795000988731775,0.21549268724316392,2.2380033334336287,10.510794296447877,11.817927761112555,0.6183182514505683,0.512343016332158,0.09412466785735937
5867,2.34,147.59,27,3,7.452173913043478,2.6004347826086955,0.03856824709693912,3.7852080237737242,2.345818363189835,6.812714584484269,11.46264267470931,0.6205955400215383,0.3988408363334563,0.11934494670028455
5903,1.23,117.65,6,2,10,0.5181818181818182,0,0.07564231978003544,2.375182675767224,2.7083814751272426,11.718555421930924,0.69158656405118,1.2658473782346644,0.1082133711707264
5930,1.72,157.34,11,2,39.89,2.228,0.019533049664827586,0.07992085234678493,2.5819169003672093,46.420240875682076,12.995669102723644,0.6228553718999147,0.58431813016131,0.15871977121543768
5980,1.86,148.66,366,6,63.166666666666664,3.7372727272727273,0.06106548581484373,0.15204320068889032,2.6624556865995386,58.317143095836094,13.460171072147824,0.6378081511809346,0.6487904662418998,0.16360847143674154
6020,2.1,271.02,88,4,15,0.7916666666666666,0,0.17208924028833666,2.140446186844755,16.530446996503517,12.062232956732483,0.6180799939497836,0.5558905103022213,0.13344521049626046
6059,0.9,146.01,27,4,6.556956521739131,0.4768181818181818,0.07805195700211034,0.34475595910835294,2.1385687354333798,6.98548436117605,11.685235196481605,0.7009096336245012,0.782899937499628,0.1088151106219399
6094,1.13,137.2,66,4,8.797,0.46299999999999997,0.06725975188174318,0.5811545262192536,2.309442575893339,4.1361867104092545,11.786554337206475,0.7149190461278517,0.320750841111325,0.11156273200512017
